StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2007-11-08 14:00:58;2007-11-08 14:01:13;2007-11-08 14:01:13;00:00:01;00:00:15;0.99108;0.85752;1;13;0;0;0.99108;2.44063;0.99108;2.44063;0;0;1;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:007;;12;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:14;2007-11-08 14:01:14;00:00:01;00:00:16;0.99108;0.865801;1;14;0;0;4.9554;2.5974;4.9554;2.5974;0;0;0;0;0;2;14;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;14;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:15;2007-11-08 14:01:15;00:00:01;00:00:17;0.981354;0.8726;1;15;0;0;0.981354;2.50145;0.981354;2.50145;0;0;1;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;14;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:16;2007-11-08 14:01:16;00:00:01;00:00:18;0.99108;0.879121;1;16;0;0;4.9554;2.63736;4.9554;2.63736;0;0;0;0;0;2;16;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;16;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:17;2007-11-08 14:01:17;00:00:01;00:00:19;0.981354;0.884495;1;17;0;0;0.981354;2.54943;0.981354;2.54943;0;0;1;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;16;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:18;2007-11-08 14:01:18;00:00:01;00:00:20;0.99108;0.889724;1;18;0;0;4.9554;2.66917;4.9554;2.66917;0;0;0;0;0;2;18;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;18;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:19;2007-11-08 14:01:19;00:00:01;00:00:21;0.981354;0.894076;1;19;0;0;0.981354;2.58811;0.981354;2.58811;0;0;1;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;18;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:20;2007-11-08 14:01:20;00:00:01;00:00:22;0.981354;0.898029;1;20;0;0;4.90677;2.69409;4.90677;2.69409;0;0;0;0;0;2;20;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;20;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:21;2007-11-08 14:01:21;00:00:01;00:00:23;0.981354;0.901636;1;21;0;0;0.981354;2.61904;0.981354;2.61904;0;0;1;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;20;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:22;2007-11-08 14:01:22;00:00:01;00:00:24;0.981354;0.90494;1;22;0;0;4.90677;2.71482;4.90677;2.71482;0;0;0;0;0;2;22;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;22;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:23;2007-11-08 14:01:23;00:00:01;00:00:25;0.981354;0.907978;1;23;0;0;0.981354;2.64498;0.981354;2.64498;0;0;1;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;22;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:24;2007-11-08 14:01:24;00:00:01;00:00:26;0.981354;0.910781;1;24;0;0;4.90677;2.73234;4.90677;2.73234;0;0;0;0;0;2;24;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;24;0;0;0;0;0;0;
